Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.5,8.2,10,28,234
Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,11.7,8.4,10.2,28,239
Cadillac,CT5,Mid-size,2,4,AS10,Z,10.4,7.3,9,31,209
Cadillac,CT5,Mid-size,3,6,AS10,Z,12.3,8.5,10.6,27,249
Cadillac,CT5 AWD,Mid-size,2,4,AS10,Z,11,7.7,9.5,30,242
Cadillac,CT5 AWD,Mid-size,3,6,AS10,Z,12.7,9.1,11.1,25,260
Cadillac,CT5-V,Mid-size,3,6,AS10,Z,12.7,8.7,10.9,26,256
Cadillac,CT5-V AWD,Mid-size,3,6,AS10,Z,12.7,9.1,11.1,25,260
Cadillac,Escalade 4WD,SUV: Standard,3,6,A10,D,12,8.9,10.6,27,277
Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.8,12.4,14.8,19,347
Cadillac,Escalade 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,17.5,12.6,15.3,18,357
Cadillac,XT4,SUV: Small,2,4,AS9,Z,9.9,7.8,8.9,32,209
Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,10.9,8.2,9.7,29,227
Cadillac,XT5,SUV: Small,2,4,AS9,Z,10.7,8,9.5,30,222
Cadillac,XT5 AWD,SUV: Small,2,4,AS9,Z,11.2,8.7,10.1,28,237
Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,12.9,9.2,11.2,25,263
Cadillac,XT6 AWD,SUV: Small,2,4,AS9,Z,11.2,9,10.2,28,239
Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.1,9.5,11.5,25,269
Chevrolet,Blazer,SUV: Small,2,4,A9,X,10.6,8,9.4,30,221
Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,11.3,8.9,10.2,28,238
Chevrolet,Blazer,SUV: Small,3.6,6,A9,X,12,8.7,10.5,27,247
Chevrolet,Blazer AWD,SUV: Small,2,4,A9,X,10.6,8.7,9.7,29,227
Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,12.5,9,10.9,26,256
Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.9,7.8,9.5,30,222
Chevrolet,Camaro,Subcompact,2,4,M6,Z,12.6,8,10.5,27,247
Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.1,10.7,26,251
Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,9,12,24,281
Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12,24,281
Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,296
Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355
Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12,14.8,19,349
Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.2,9.4,10.9,26,257
Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,294
Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,12.9,9.3,11.3,25,263
Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.7,9.9,11.4,25,268
Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,27,294
Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.1,23,284
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,23,326
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,20,329
Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.4,8.7,12.4,23,290
Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,8.9,7.7,8.4,34,198
Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.4,8,8.8,32,207
Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,38,175
Chevrolet,Malibu,Mid-size,2,4,A9,Z,10.7,7.1,9.1,31,213
Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.2,25,263
Chevrolet,Silverado Custom/WT,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.2,25,263
Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,10.2,7.2,8.8,32,238
Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,21,318
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.8,11.4,13.8,20,325
Chevrolet,Silverado (Without AFM),Pickup truck: Standard,5.3,8,A6,X,16.7,11.4,14.3,20,336
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,16.2,12.3,14.5,19,340
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,21.5,16,19,15,315
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,13.9,10.1,12.2,23,286
Chevrolet,Silverado (Without DFM),Pickup truck: Standard,5.3,8,A8,X,15.9,10.8,13.6,21,319
Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275
Chevrolet,Silverado 4WD Custom/WT,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275
Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,D,10.6,9.2,10,28,268
Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.8,11.9,14,20,329
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.3,6,A6,X,16.3,13,14.8,19,347
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,16,11.8,14.1,20,331
Chevrolet,Silverado 4WD (Without AFM),Pickup truck: Standard,5.3,8,A6,X,17.3,11.8,14.8,19,348
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,19,347
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22,16.4,19.5,14,326
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A6,X,16.5,13.1,15,19,350
Chevrolet,Silverado 4WD Trail Boss (Without AFM),Pickup truck: Standard,5.3,8,A6,X,17.8,13.2,15.7,18,368
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,14.4,10.6,12.7,22,299
Chevrolet,Silverado 4WD (Without DFM),Pickup truck: Standard,5.3,8,A8,X,16.8,11.4,14.4,20,339
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.3,10.7,12.7,22,298
Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,X,15.3,11,13.3,21,313
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A10,X,14.7,11.2,13.1,22,307
Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,X,15.6,11.4,13.7,21,321
Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,14.7,11,13.1,22,306
Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,15.6,11.6,13.8,20,324
Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,15.7,12.4,14.2,20,332
Chevrolet,Silverado 4WD Trail Boss (Without Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,16.8,12.7,15,19,352
Chevrolet,Spark,Subcompact,1.4,4,AV,X,7.7,6.2,7,40,165
Chevrolet,Spark,Subcompact,1.4,4,M5,X,8,6.2,7.2,39,170
Chevrolet,Suburban,SUV: Standard,3,6,A10,D,11.3,8.6,10.1,28,272
Chevrolet,Suburban,SUV: Standard,5.3,8,A10,X,14.3,11.8,13.2,21,309
Chevrolet,Suburban (Without Stop-Start),SUV: Standard,5.3,8,A10,X,15.3,12,13.8,20,325
Chevrolet,Suburban 4WD,SUV: Standard,3,6,A10,D,12,8.9,10.6,27,277
Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,X,15.3,12.4,14,20,328
Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,X,16,12.6,14.5,19,341
Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,16.8,12.4,14.8,19,347
Chevrolet,Suburban 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,17.5,12.6,15.3,18,357
Chevrolet,Tahoe,SUV: Standard,3,6,A10,D,11,8.4,9.8,29,263
Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,X,14.3,11.8,13.2,21,309
Chevrolet,Tahoe (Without Stop-Start),SUV: Standard,5.3,8,A10,X,15.3,12,13.8,20,325
Chevrolet,Tahoe 4WD,SUV: Standard,3,6,A10,D,12,8.9,10.6,27,277
Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,X,14.8,11.8,13.5,21,317
Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,5.3,8,A10,X,15.5,12,13.9,20,327
Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.8,12.4,14.8,19,347
Chevrolet,Tahoe 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,17.5,12.6,15.3,18,357
Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,X,8.4,7.5,8,35,188
Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,X,8,7.2,7.6,37,179
Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,X,8.9,7.8,8.4,34,196
Chevrolet,Traverse,SUV: Standard,3.6,6,A9,X,13,8.8,11.1,25,261
Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277
Chevrolet,Trax,SUV: Small,1.4,4,AS6,X,9.1,7.6,8.4,34,196
Chevrolet,Trax (SIDI),SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,33,203
Chevrolet,Trax 4WD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214
Chevrolet,Trax 4WD (SIDI),SUV: Small,1.4,4,AS6,X,10.2,7.7,9.1,31,214
Chrysler,300,Full-size,3.6,6,A8,X,12.4,7.8,10.3,27,242
Chrysler,300,Full-size,5.7,8,A8,X,14.7,9.4,12.3,23,289
Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11,26,258
Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249
Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249
Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,12,24,279
Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,27,242
Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,23,289
Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,22,307
Dodge,Challenger (MDS),Mid-size,6.4,8,A8,Z,15.9,9.6,13.1,22,306
Dodge,Challenger,Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,20,325
Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11,26,258
